Rank;Team;Match;Points;GS;GL
1;Lech Poznan;28;56;56;25
2;Pogon Szczecin;28;56;52;26
3;Rakow Czestochowa;28;56;54;20
4;Lechia Gdansk;28;46;42;31
5;Radomiak Radom;28;43;36;30
6;Wisla Plock;28;42;41;40
7;Piast Gliwice;28;41;36;31
8;Gornik Zabrze;28;37;39;40
9;Legia Warszawa;28;36;28;31
10;Warta Poznan;28;33;34;37
11;Cracovia;28;35;34;38
12;Jagielonia Bialystok;28;31;33;45
13;Stal Mielec;28;30;35;41
14;Slask Wroclaw;28;29;31;40
15;Zaglebie Lublin;28;29;31;49
16;Wisla Krakow;28;21;31;44
17;Termalica;28;19;25;49
18;Gornik Leczna;28;12;28;52
